iter	Passed	Remaining
201	3066	12114
202	3079	12092
203	3095	12076
204	3108	12056
205	3123	12037
206	3137	12018
207	3150	11997
208	3164	11975
209	3178	11955
210	3191	11935
211	3204	11910
212	3217	11887
213	3231	11867
214	3243	11842
215	3257	11822
216	3271	11805
217	3285	11786
218	3300	11770
219	3315	11754
220	3328	11730
221	3342	11712
222	3355	11691
223	3368	11667
224	3380	11643
225	3393	11621
226	3407	11602
227	3422	11588
228	3440	11585
229	3459	11580
230	3474	11568
231	3488	11549
232	3506	11542
233	3521	11528
234	3538	11519
235	3557	11515
236	3572	11500
237	3590	11495
238	3605	11480
239	3618	11460
240	3632	11438
241	3646	11421
242	3660	11402
243	3674	11385
244	3689	11370
245	3702	11347
246	3717	11333
247	3733	11320
248	3750	11310
249	3765	11295
250	3780	11281
251	3796	11268
252	3811	11254
253	3825	11236
254	3839	11217
255	3852	11195
256	3865	11175
257	3879	11157
258	3892	11135
259	3905	11114
260	3919	11098
261	3934	11081
262	3947	11061
263	3960	11042
264	3973	11022
265	3986	11001
266	4000	10981
267	4013	10961
268	4025	10939
269	4038	10918
270	4051	10897
271	4064	10878
272	4078	10862
273	4091	10841
274	4104	10821
275	4118	10804
276	4132	10786
277	4145	10766
278	4158	10745
279	4171	10725
280	4183	10703
281	4196	10684
282	4209	10666
283	4222	10645
284	4235	10625
285	4248	10605
286	4260	10583
287	4271	10561
288	4284	10540
289	4296	10518
290	4308	10497
291	4320	10475
292	4333	10456
293	4345	10435
294	4357	10413
295	4369	10392
296	4382	10372
297	4394	10352
298	4406	10330
299	4420	10313
300	4434	10298
301	4448	10280
302	4460	10261
303	4474	10243
304	4487	10225
305	4500	10207
306	4513	10187
307	4526	10168
308	4538	10149
309	4550	10129
310	4562	10108
311	4575	10089
312	4587	10069
313	4600	10049
314	4611	10028
315	4624	10009
316	4638	9993
317	4650	9972
318	4664	9958
319	4680	9945
320	4694	9930
321	4709	9916
322	4726	9906
323	4741	9893
324	4759	9884
325	4776	9874
326	4792	9863
327	4805	9845
328	4821	9832
329	4837	9820
330	4850	9803
331	4866	9790
332	4880	9774
333	4894	9760
334	4909	9744
335	4921	9726
336	4934	9707
337	4947	9690
338	4959	9670
339	4972	9651
340	4984	9632
341	4996	9613
342	5008	9593
343	5021	9575
344	5034	9558
345	5047	9541
346	5060	9522
347	5074	9506
348	5086	9488
349	5101	9474
350	5114	9457
351	5127	9440
352	5140	9422
353	5154	9405
354	5167	9388
355	5181	9373
356	5195	9357
357	5208	9339
358	5220	9321
359	5233	9304
360	5245	9285
361	5258	9267
362	5270	9249
363	5284	9233
364	5299	9219
365	5313	9204
366	5327	9188
367	5340	9172
368	5354	9155
369	5367	9139
370	5379	9120
371	5392	9103
372	5405	9085
373	5417	9068
374	5430	9051
375	5443	9034
376	5455	9016
377	5468	8997
378	5480	8979
379	5492	8960
380	5504	8942
381	5516	8924
382	5528	8906
383	5540	8887
384	5552	8870
385	5565	8852
386	5577	8834
387	5589	8816
388	5601	8798
389	5614	8780
390	5626	8763
391	5640	8748
392	5654	8734
393	5670	8721
394	5684	8706
395	5697	8690
396	5710	8673
397	5724	8657
398	5736	8641
399	5749	8624
400	5764	8611
401	5777	8594
402	5789	8577
403	5803	8561
404	5818	8547
405	5830	8530
